Date,Open,High,Low,Close,Adj Close,Volume
2018/5/29,6928.5,6964.649902,6887.120117,6926.540039,6926.540039,2087370000
2018/5/25,6951.470215,6982.52002,6941.850098,6960.919922,6960.919922,1757660000
2018/5/24,6951.52002,6963.680176,6882.569824,6949.700195,6949.700195,1992460000
2018/5/23,6847.27002,6954.700195,6846.939941,6953.629883,6953.629883,1980450000
2018/5/22,6934.700195,6947.430176,6883.75,6893.620117,6893.620117,1908280000
2018/5/21,6920.319824,6948.27002,6876.350098,6905.529785,6905.529785,1949100000
2018/5/18,6876.649902,6897.910156,6857.580078,6866.25,6866.25,1966710000
2018/5/17,6905.75,6952.97998,6869.390137,6901.629883,6901.629883,1931700000
2018/5/16,6892.890137,6944.540039,6891.649902,6929.970215,6929.970215,2083660000
2018/5/15,6909.319824,6912.040039,6852.72998,6888.540039,6888.540039,2114040000
2018/5/14,6977.350098,7008.259766,6954.640137,6964.370117,6964.370117,2075670000
2018/5/11,6948.870117,6969.299805,6923.609863,6952.560059,6952.560059,2083030000
2018/5/10,6909.180176,6966.930176,6906.77002,6963.549805,6963.549805,2233460000
2018/5/9,6830.549805,6895.930176,6807.399902,6893.209961,6893.209961,2241480000
2018/5/8,6813.910156,6830.870117,6770.299805,6815.47998,6815.47998,2054830000
2018/5/7,6803.450195,6846.459961,6796.049805,6821.870117,6821.870117,1939980000
2018/5/4,6618.700195,6783.359863,6612.390137,6769.120117,6769.120117,2022230000
2018/5/3,6608.700195,6667.290039,6539.870117,6643.47998,6643.47998,2345740000
2018/5/2,6694.52002,6715.959961,6637.959961,6644.47998,6644.47998,2144200000
2018/5/1,6592.930176,6685.410156,6578.259766,6681.959961,6681.959961,1929110000
2018/4/30,6669.439941,6712.5,6593.600098,6605.569824,6605.569824,1987020000
2018/4/27,6748.589844,6750.779785,6619.259766,6656.350098,6656.350098,2027530000
2018/4/26,6606.609863,6673.649902,6579.120117,6649.649902,6649.649902,2127140000
2018/4/25,6514.330078,6540.759766,6426.569824,6513.939941,6513.939941,2026690000
2018/4/24,6680.879883,6688.890137,6464.740234,6509.049805,6509.049805,2149250000
2018/4/23,6699.160156,6721.649902,6613.549805,6648.799805,6648.799805,1737370000
2018/4/20,6754.680176,6757.680176,6642.830078,6667.75,6667.75,1921790000
2018/4/19,6793.080078,6815.040039,6749.069824,6774.890137,6774.890137,1963950000
2018/4/18,6824.580078,6856.959961,6788.319824,6833.209961,6833.209961,1893220000
2018/4/17,6738.649902,6834.310059,6729.790039,6816.370117,6816.370117,1913230000
2018/4/16,6675.919922,6699.759766,6633.080078,6675.180176,6675.180176,1795950000
2018/4/13,6696.02002,6703.310059,6598.339844,6628.339844,6628.339844,1743640000
2018/4/12,6627.319824,6682.689941,6618.810059,6656.259766,6656.259766,2021110000
2018/4/11,6578.839844,6650.290039,6574.879883,6583.439941,6583.439941,1852120000
2018/4/10,6585.529785,6639.970215,6534.890137,6615.870117,6615.870117,2238770000
2018/4/9,6488.47998,6604.259766,6466.040039,6472.339844,6472.339844,2080900000
2018/4/6,6514.47998,6587.359863,6402.029785,6433.209961,6433.209961,2350540000
2018/4/5,6619.220215,6632.209961,6550.279785,6594.839844,6594.839844,2124660000
2018/4/4,6326.540039,6578.560059,6326.540039,6560.060059,6560.060059,2254070000
2018/4/3,6448.049805,6485.27002,6343.899902,6458.830078,6458.830078,2328510000
2018/4/2,6528.22998,6560.959961,6322.600098,6390.839844,6390.839844,2394730000
2018/3/29,6493.509766,6640.759766,6435.669922,6581.129883,6581.129883,2504500000
2018/3/28,6488.02002,6559.879883,6410.040039,6460.810059,6460.810059,2518670000
2018/3/27,6791.390137,6793.5,6479.560059,6529.839844,6529.839844,2325990000
2018/3/26,6644.399902,6760.649902,6538.790039,6753.830078,6753.830078,2326060000
2018/3/23,6683.189941,6708.580078,6507.839844,6508.089844,6508.089844,2390410000
2018/3/22,6763.939941,6809.939941,6679.350098,6682.259766,6682.259766,2347160000
2018/3/21,6863.290039,6930.700195,6828.879883,6853.450195,6853.450195,1988390000
2018/3/20,6871.089844,6902.22998,6845.850098,6885.919922,6885.919922,1967690000
2018/3/19,6945.970215,6949.02002,6806.160156,6864.879883,6864.879883,2324430000
2018/3/16,7058.120117,7061.669922,7011.689941,7019.950195,7019.950195,3046990000
2018/3/15,7050.660156,7075.549805,7010.009766,7030.970215,7030.970215,1991570000
2018/3/14,7077.850098,7084.069824,7012.569824,7040.97998,7040.97998,2104450000
2018/3/13,7172.25,7186.089844,7025.830078,7046.509766,7046.509766,2448830000
2018/3/12,7122.470215,7156.25,7108.040039,7131.120117,7131.120117,2294440000
2018/3/9,7014.839844,7101.310059,7007.299805,7101.180176,7101.180176,2302930000
2018/3/8,6955.850098,6971,6931.350098,6966.430176,6966.430176,2272110000
2018/3/7,6855.569824,6935.47998,6850.910156,6929.390137,6929.390137,2192230000
2018/3/6,6919.790039,6937.029785,6872.060059,6913.02002,6913.02002,2112570000
2018/3/5,6777.629883,6901.629883,6753.830078,6881.279785,6881.279785,2066350000
2018/3/2,6661.910156,6820.370117,6645.029785,6811.040039,6811.040039,2287320000
2018/3/1,6862.939941,6892.379883,6687.439941,6750.540039,6750.540039,2489040000
2018/2/28,6945.200195,6964.160156,6854.419922,6854.419922,6854.419922,2373880000
2018/2/27,6984.830078,7003.129883,6900.350098,6900.350098,6900.350098,2155850000
2018/2/26,6933.819824,6989.359863,6927.459961,6989.100098,6989.100098,1866610000
2018/2/23,6816.430176,6897.529785,6789.029785,6896.600098,6896.600098,1879460000
2018/2/22,6793.080078,6826.009766,6744.049805,6761.850098,6761.850098,1911900000
2018/2/21,6808.600098,6879.470215,6759.220215,6759.259766,6759.259766,1946010000
2018/2/20,6742.149902,6838,6740.47998,6779.689941,6779.689941,1911170000
2018/2/16,6778.279785,6840.600098,6758.509766,6770.660156,6770.660156,2019830000
2018/2/15,6734.339844,6795.919922,6665.919922,6794.919922,6794.919922,2110700000
2018/2/14,6523.259766,6684.149902,6520.390137,6675.029785,6675.029785,2211460000
2018/2/13,6482.77002,6567.620117,6478.410156,6553.859863,6553.859863,1816670000
2018/2/12,6477.040039,6565.279785,6424.299805,6523.850098,6523.850098,2240420000
2018/2/9,6395.160156,6453.430176,6164.430176,6412.680176,6412.680176,3155990000
2018/2/8,6595.810059,6606.049805,6304.180176,6306.100098,6306.100098,2707700000
2018/2/7,6632.97998,6716.25,6581.379883,6582.02002,6582.02002,2366970000
2018/2/6,6378.600098,6673.410156,6370.47998,6665.97998,6665.97998,3131030000
2018/2/5,6687.470215,6807.959961,6495.390137,6495.919922,6495.919922,3106870000
2018/2/2,6866.379883,6889.069824,6756.540039,6760.290039,6760.290039,2587770000
2018/2/1,6910.569824,6970.77002,6879.02002,6901.5,6901.5,2291680000
2018/1/31,6972.810059,6983.609863,6915.47998,6949.990234,6949.990234,2407540000
2018/1/30,6910.390137,6958.790039,6894.629883,6930.72998,6930.72998,2163980000
2018/1/29,7000.680176,7020.640137,6974.700195,6988.319824,6988.319824,2103380000
2018/1/26,6956.660156,7022.970215,6941.47998,7022.970215,7022.970215,2059010000
2018/1/25,6965.009766,6967.600098,6894.839844,6916.299805,6916.299805,2061450000
2018/1/24,6975.379883,6992.910156,6880.680176,6919.350098,6919.350098,2277010000
2018/1/23,6928.27002,6969.399902,6926.370117,6963.459961,6963.459961,2119840000
2018/1/22,6829.549805,6906.279785,6822.850098,6906.279785,6906.279785,2106070000
2018/1/19,6829.040039,6843.240234,6801.589844,6834.330078,6834.330078,1997270000
2018/1/18,6804.589844,6826.790039,6784.720215,6811.379883,6811.379883,2026220000
2018/1/17,6767.850098,6820.040039,6738.450195,6810.279785,6810.279785,2238070000
2018/1/16,6807.850098,6835.790039,6719.109863,6737.140137,6737.140137,2377140000
2018/1/12,6699.319824,6763.97998,6695.52002,6758.540039,6758.540039,1976200000
